# Rainfall per month from 2010 to 2022 in Northern Finland (Oulu)
# Format: year, month, rainfall
2010,1, 0,
2010,2, 3.4,
2010,3, 52,
2010,4, 33.8,
2010,5, 45.6,
2010,6, 43.8,
2010,7, 104.6,
2010,8, 105.4,
2010,9, 107.2,
2010,10,38.6,
2010,11,17.8,
2010,12,0,
2011,1, 8.2,
2011,2, 1.6,
2011,3, 27.4,
2011,4, 15.8,
2011,5, 57.6,
2011,6, 85.2,
2011,7, 127,
2011,8, 72.2,
2011,9, 82.2,
2011,10,62.4,
2011,11,31.6,
2011,12,53.8,
2012,1, 0,
2012,2, 5,
2012,3, 32.4,
2012,4, 57.6,
2012,5, 71.4,
2012,6, 60.8,
2012,7, 109,
2012,8, 43.6,
2012,9, 79.4,
2012,10,117.2,
2012,11,59,
2012,12,0.2,
2013,1, 28,
2013,2, 19,
2013,3, 0,
2013,4, 37.6,
2013,5, 44.2,
2013,6, 104.8,
2013,7, 84.2,
2013,8, 57.2,
2013,9, 37.2,
2013,10,64.6,
2013,11,77.8,
2013,12,92.8,
2014,1, 23.8,
2014,2, 23.6,
2014,3, 15.4,
2014,4, 13.2,
2014,5, 36.4,
2014,6, 26.4,
2014,7, 95.8,
2014,8, 81.8,
2014,9, 13.8,
2014,10,94.6,
2014,11,44.6,
2014,12,31,
2015,1, 37.4,
2015,2, 21,
2015,3, 42,
2015,4, 8.8,
2015,5, 82.4,
2015,6, 150,
2015,7, 56.8,
2015,8, 67.2,
2015,9, 131.2,
2015,10,38.4,
2015,11,83.4,
2015,12,47.8,
2016,1, 12.4,
2016,2, 34.8,
2016,3, 29,
2016,4, 40.4,
2016,5, 32.4,
2016,6, 80.2,
2016,7, 102.6,
2016,8, 95.6,
2016,9, 40.2,
2016,10,7.8,
2016,11,39.6,
2016,12,8.8,
2017,1, 9.4,
2017,2, 6.6,
2017,3, 29,
2017,4, 46.2,
2017,5, 43.2,
2017,6, 25.2,
2017,7, 72.4,
2017,8, 58.8,
2017,9, 68.8,
2017,10,45.8,
2017,11,36.8,
2017,12,29.6,
2018,1, 19.8,
2018,2, 0.8,
2018,3, 4,
2018,4, 23.2,
2018,5, 13.2,
2018,6, 62.8,
2018,7, 33,
2018,8, 96.6,
2018,9, 72.6,
2018,10,48.8,
2018,11,31.8,
2018,12,12.8,
2019,1, 0.2,
2019,2, 24.8,
2019,3, 32,
2019,4, 8.8,
2019,5, 71.4,
2019,6, 65.8,
2019,7, 17.6,
2019,8, 90,
2019,9, 50,
2019,10,77,
2019,11,27,
2019,12,43.2,
2020,1, 28.8,
2020,2, 45,
2020,3, 18.6,
2020,4, 13,
2020,5, 30.8,
2020,6, 21.4,
2020,7, 163.6,
2020,8, 12,
2020,9, 102.4,
2020,10,133.2,
2020,11,69.8,
2020,12,40.6,
2021,1, 0.4,
2021,2, 21.6,
2021,3, 24,
2021,4, 51.4,
2021,5, 76.4,
2021,6, 29.2,
2021,7, 36.4,
2021,8, 116,
2021,9, 72.4,
2021,10,93.4,
2021,11,21,
2021,12,10.2,
2022,1, 8.6,
2022,2, 6.6,
2022,3, 5.2,
2022,4, 15.2,
2022,5, 37.6,
2022,6, 45,
2022,7, 67.4,
2022,8, 161.6,
2022,9, 22.8,
2022,10,75.2,
2022,11,21.8,
2022,12,0.2
